run,window_index,rul_label,deviation_score
dev_run_0,0,2803.0,0.9765840241183399
dev_run_0,1,2802.0,0.9095863311451209
dev_run_0,2,2801.0,0.8681669126260584
dev_run_0,3,2800.0,0.8385984907633073
dev_run_0,4,2799.0,1.3788209025566933
dev_run_0,5,2798.0,1.2295234175335978
dev_run_0,6,2797.0,0.844931618407549
dev_run_0,7,2796.0,1.1468018148650159
dev_run_0,8,2795.0,0.912555255404027
dev_run_0,9,2794.0,0.8701187504700529
dev_run_0,10,2793.0,1.6081706017501556
dev_run_0,11,2792.0,1.0263194144686607
dev_run_0,12,2791.0,0.93682648034026
dev_run_0,13,2790.0,0.9991620700021313
dev_run_0,14,2789.0,1.102561519201634
dev_run_0,15,2788.0,1.0385368516493614
dev_run_0,16,2787.0,1.0015775441238972
dev_run_0,17,2786.0,1.0078070419615694
dev_run_0,18,2785.0,0.847842287942958
dev_run_0,19,2784.0,0.8862488896135632
dev_run_0,20,2783.0,0.8500606552416057
dev_run_0,21,2782.0,1.238369870409422
dev_run_0,22,2781.0,1.0128455503236122
dev_run_0,23,2780.0,0.9061754270879737
dev_run_0,24,2779.0,1.3761046022926302
dev_run_0,25,2778.0,0.8793968379851526
dev_run_0,26,2777.0,1.1916678571607744
dev_run_0,27,2776.0,1.3397591267417348
dev_run_0,28,2775.0,1.5430304965256787
dev_run_0,29,2774.0,1.829881682062786
dev_run_0,30,2773.0,1.4147218301636197
dev_run_0,31,2772.0,1.4697569545071687
dev_run_0,32,2771.0,1.161221292880757
dev_run_0,33,2770.0,1.1850939451486713
dev_run_0,34,2769.0,0.9025527478264813
dev_run_0,35,2768.0,1.1415871974149303
dev_run_0,36,2767.0,0.9289519485775484
dev_run_0,37,2766.0,1.1328107679431063
dev_run_0,38,2765.0,1.235799770427353
dev_run_0,39,2764.0,1.0883496914871909
dev_run_0,40,2763.0,1.2360702069803675
dev_run_0,41,2762.0,0.9437562400232938
dev_run_0,42,2761.0,1.3168327924087113
dev_run_0,43,2760.0,1.0206170247826198
dev_run_0,44,2759.0,0.8632026738754037
dev_run_0,45,2758.0,1.112316637534844
dev_run_0,46,2757.0,1.0467692631637269
dev_run_0,47,2756.0,0.8328159849725637
dev_run_0,48,2755.0,0.7832446524251825
dev_run_0,49,2754.0,0.5470079428810114
dev_run_0,50,2753.0,1.3827884248742504
dev_run_0,51,2752.0,0.6867863501559737
dev_run_0,52,2751.0,0.6652797441190291
dev_run_0,53,2750.0,0.5217030778852993
dev_run_0,54,2749.0,0.5691274617548017
dev_run_0,55,2748.0,0.8169639914509041
dev_run_0,56,2747.0,0.5670397285094791
dev_run_0,57,2746.0,0.3959657052297908
dev_run_0,58,2745.0,0.54930316916346
dev_run_0,59,2744.0,0.6487808459284822
dev_run_0,60,2743.0,0.32750689840993547
dev_run_0,61,2742.0,0.49873211505456555
dev_run_0,62,2741.0,0.7018327536328582
dev_run_0,63,2740.0,0.3696138960502746
dev_run_0,64,2739.0,0.8251650125672929
dev_run_0,65,2738.0,0.4430645158590608
dev_run_0,66,2737.0,0.6406532954814621
dev_run_0,67,2736.0,0.8535852057986913
dev_run_0,68,2735.0,0.3588981185752981
dev_run_0,69,2734.0,0.5454391345309919
dev_run_0,70,2733.0,0.6085161439030002
dev_run_0,71,2732.0,0.6432462833384484
dev_run_0,72,2731.0,1.1563879705949458
dev_run_0,73,2730.0,0.5975033419485126
dev_run_0,74,2729.0,0.5947381321110333
dev_run_0,75,2728.0,0.43357990156088944
dev_run_0,76,2727.0,0.5581649718712212
dev_run_0,77,2726.0,1.1555951181242137
dev_run_0,78,2725.0,1.7741673692298878
dev_run_0,79,2724.0,0.5960593424434519
dev_run_0,80,2723.0,0.5288845993968766
dev_run_0,81,2722.0,0.8964675361529484
dev_run_0,82,2721.0,1.5543878440832897
dev_run_0,83,2720.0,1.0077919216330409
dev_run_0,84,2719.0,0.94451411263148
dev_run_0,85,2718.0,1.4499034525220031
dev_run_0,86,2717.0,1.0347770830720977
dev_run_0,87,2716.0,0.9861457237547514
